"Name","Municipal class","CD","CSD","CSDtype","unittype","pr","CWEIGHT","Pop20","Cellid","value","source","year","province","province_name","road_condition"
"THE VILLAGE OF RADIUM HOT SPRINGS","Rural","5901","5901040","VL","CSD","59",2.0966936911099,"837","C5F06104",0,"00","2020","59","British Columbia","very poor"
"THE VILLAGE OF RADIUM HOT SPRINGS","Rural","5901","5901040","VL","CSD","59",2.0966936911099,"837","C5F06204",0,"00","2020","59","British Columbia","poor"
"THE VILLAGE OF RADIUM HOT SPRINGS","Rural","5901","5901040","VL","CSD","59",2.0966936911099,"837","C5F06304",0,"00","2020","59","British Columbia","fair"
"THE VILLAGE OF RADIUM HOT SPRINGS","Rural","5901","5901040","VL","CSD","59",2.0966936911099,"837","C5F06404",0,"00","2020","59","British Columbia","good"
"THE VILLAGE OF RADIUM HOT SPRINGS","Rural","5901","5901040","VL","CSD","59",2.0966936911099,"837","C5F06504",0,"00","2020","59","British Columbia","very good"
"THE VILLAGE OF RADIUM HOT SPRINGS","Rural","5901","5901040","VL","CSD","59",2.0966936911099,"837","C5F06604",100,"21","2020","59","British Columbia","do not know"
"VILLAGE OF ANMORE CORP","Urban","5915","5915038","VL","CSD","59",1.16,"2412","C5F06104",0,"00","2020","59","British Columbia","very poor"
"VILLAGE OF ANMORE CORP","Urban","5915","5915038","VL","CSD","59",1.16,"2412","C5F06204",0,"00","2020","59","British Columbia","poor"
"VILLAGE OF ANMORE CORP","Urban","5915","5915038","VL","CSD","59",1.16,"2412","C5F06304",30,"00","2020","59","British Columbia","fair"
"VILLAGE OF ANMORE CORP","Urban","5915","5915038","VL","CSD","59",1.16,"2412","C5F06404",20,"00","2020","59","British Columbia","good"
"VILLAGE OF ANMORE CORP","Urban","5915","5915038","VL","CSD","59",1.16,"2412","C5F06504",50,"00","2020","59","British Columbia","very good"
"VILLAGE OF ANMORE CORP","Urban","5915","5915038","VL","CSD","59",1.16,"2412","C5F06604",0,"21","2020","59","British Columbia","do not know"
"CITY OF ABBOTSFORD","Urban","5909","5909052","CY","CSD","59",1.09090909090909,"161581","C5F06104",0,"00","2020","59","British Columbia","very poor"
"CITY OF ABBOTSFORD","Urban","5909","5909052","CY","CSD","59",1.09090909090909,"161581","C5F06204",0,"00","2020","59","British Columbia","poor"
"CITY OF ABBOTSFORD","Urban","5909","5909052","CY","CSD","59",1.09090909090909,"161581","C5F06304",0,"00","2020","59","British Columbia","fair"
"CITY OF ABBOTSFORD","Urban","5909","5909052","CY","CSD","59",1.09090909090909,"161581","C5F06404",100,"00","2020","59","British Columbia","good"
"CITY OF ABBOTSFORD","Urban","5909","5909052","CY","CSD","59",1.09090909090909,"161581","C5F06504",0,"00","2020","59","British Columbia","very good"
"CITY OF ABBOTSFORD","Urban","5909","5909052","CY","CSD","59",1.09090909090909,"161581","C5F06604",0,"21","2020","59","British Columbia","do not know"
