"Name","Municipal class","CD","CSD","CSDtype","UnitType","pr","cweight","Pop22","Cellid","value","source","year","province","province_name","road_condition"
"THE VILLAGE OF RADIUM HOT SPRINGS","Rural","5901","5901040","VL","CSD","59",1.24382092271087,"1339","C5F06104",0,"21","2022","59","British Columbia","very poor"
"THE VILLAGE OF RADIUM HOT SPRINGS","Rural","5901","5901040","VL","CSD","59",1.24382092271087,"1339","C5F06204",10,"00","2022","59","British Columbia","poor"
"THE VILLAGE OF RADIUM HOT SPRINGS","Rural","5901","5901040","VL","CSD","59",1.24382092271087,"1339","C5F06304",35,"00","2022","59","British Columbia","fair"
"THE VILLAGE OF RADIUM HOT SPRINGS","Rural","5901","5901040","VL","CSD","59",1.24382092271087,"1339","C5F06404",45,"00","2022","59","British Columbia","good"
"THE VILLAGE OF RADIUM HOT SPRINGS","Rural","5901","5901040","VL","CSD","59",1.24382092271087,"1339","C5F06504",10,"00","2022","59","British Columbia","very good"
"THE VILLAGE OF RADIUM HOT SPRINGS","Rural","5901","5901040","VL","CSD","59",1.24382092271087,"1339","C5F06604",0,"21","2022","59","British Columbia","do not know"
"VILLAGE OF ANMORE CORP","Urban","5915","5915038","VL","CSD","59",1.03225806451613,"2356","C5F06104",33,"23","2022","59","British Columbia","very poor"
"VILLAGE OF ANMORE CORP","Urban","5915","5915038","VL","CSD","59",1.03225806451613,"2356","C5F06204",0,"23","2022","59","British Columbia","poor"
"VILLAGE OF ANMORE CORP","Urban","5915","5915038","VL","CSD","59",1.03225806451613,"2356","C5F06304",49,"99","2022","59","British Columbia","fair"
"VILLAGE OF ANMORE CORP","Urban","5915","5915038","VL","CSD","59",1.03225806451613,"2356","C5F06404",18,"99","2022","59","British Columbia","good"
"VILLAGE OF ANMORE CORP","Urban","5915","5915038","VL","CSD","59",1.03225806451613,"2356","C5F06504",0,"99","2022","59","British Columbia","very good"
