"Name","Municipal class","CD","CSD","CSDtype","unittype","pr","CWEIGHT","Pop20","Cellid","value","source","year","road_condition"
"CITY OF ABBOTSFORD","Urban","5909","5909052","CY","CSD","59",1.09090909090909,"161581","C5F06102",0,"00","2020","VeryPoor"
"CITY OF ABBOTSFORD","Urban","5909","5909052","CY","CSD","59",1.09090909090909,"161581","C5F06502",0,"00","2020","VeryGood"
"RESORT MUNICIPALITY OF WHISTLER","Rural","5931","5931020","DM","CSD","59",1.050297178,"13948","C5F06102",0,"00","2020","VeryPoor"
"RESORT MUNICIPALITY OF WHISTLER","Rural","5931","5931020","DM","CSD","59",1.050297178,"13948","C5F06502",70,"00","2020","VeryGood"
"DISTRICT OF HOPE","Rural","5909","5909009","DM","CSD","59",1.07974519530149,"6867","C5F06102",30,"00","2020","VeryPoor"
"DISTRICT OF HOPE","Rural","5909","5909009","DM","CSD","59",1.07974519530149,"6867","C5F06502",0,"00","2020","VeryGood"
"CORPORATION OF THE DISTRICT OF WEST VANCOUVER","Urban","5915","5915055","DM","CSD","59",1.14285714285714,"43805","C5F06102",1,"00","2020","VeryPoor"
"CORPORATION OF THE DISTRICT OF WEST VANCOUVER","Urban","5915","5915055","DM","CSD","59",1.14285714285714,"43805","C5F06502",26,"00","2020","VeryGood"
"CITY OF VANCOUVER","Urban","5915","5915022","CY","CSD","59",1.09090909090909,"697266","C5F06102",9,"00","2020","VeryPoor"
"CITY OF VANCOUVER","Urban","5915","5915022","CY","CSD","59",1.09090909090909,"697266","C5F06502",28,"00","2020","VeryGood"
"CITY OF NORTH VANCOUVER","Urban","5915","5915051","CY","CSD","59",1.14285714285714,"58985","C5F06102",57,"99","2020","VeryPoor"
"CITY OF NORTH VANCOUVER","Urban","5915","5915051","CY","CSD","59",1.14285714285714,"58985","C5F06502",7,"99","2020","VeryGood"
